...1,web_name,gameweek,event_points,next_gw_points,total_points,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,first_name,form,player_id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,correct_as_of_time
1,Leno,1,1,0,1,NA,NA,80201,0,0,0,0,0,1,2.6,3.6,Bernd,1,1,FALSE,NA,NA,5,80201.jpg,1,Leno,2,FALSE,NA,a,1,3,2373,2373,24723,24723,0.2,0.2,90,0,0,0,2,0,0,0,0,0,1,0,11,11.8,0,0,1.2,150,17,430,47,394,47,217,17,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
2,Rúnarsson,1,0,0,0,0,NA,115918,0,0,0,0,0,1,0,2,Rúnar Alex,0,2,FALSE,Illness - Expected back 28 Aug,2021-08-20T09:30:14Z,4,115918.jpg,0,Rúnarsson,1.5,FALSE,NA,i,1,3,5685,5685,3675,3675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,30,268,11,201,10,290,30,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
3,Willian,1,0,0,0,50,NA,47431,-0.1,1,-0.1,1,0,3,1.1,3.2,Willian,0,3,FALSE,Illness - 50% chance of playing,2021-08-20T09:30:14Z,6.4,47431.jpg,0,Borges Da Silva,0.3,FALSE,NA,d,1,3,700,700,6622,6622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537,226,540,227,534,224,540,227,4,NA,2,NA,NA,NA,2021-08-20T17:10:45Z
4,Aubameyang,1,0,9,0,50,25,54694,-0.1,1,-0.1,1,0,4,1.6,1,Pierre-Emerick,0,4,FALSE,Lack of match fitness - 50% chance of playing,2021-08-13T14:30:14Z,9.9,54694.jpg,0,Aubameyang,1.5,FALSE,NA,d,1,3,990,990,94351,94351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556,73,556,73,556,73,556,73,NA,NA,NA,NA,1,NA,2021-08-20T17:10:45Z
5,Cédric,1,0,1,0,NA,NA,58822,0,0,0,0,0,2,1.7,2.7,Cédric,0,5,FALSE,NA,NA,4.5,58822.jpg,0,Soares,0.2,FALSE,NA,a,1,3,524,524,3166,3166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,120,310,117,248,91,329,121,NA,NA,5,NA,NA,NA,2021-08-20T17:10:45Z
6,Lacazette,1,0,0,0,0,25,59966,-0.1,1,-0.1,1,0,4,0,0.9,Alexandre,0,6,FALSE,Illness - Expected back 28 Aug,2021-08-13T14:30:14Z,8.4,59966.jpg,0,Lacazette,1.7,FALSE,NA,i,1,3,564,564,69630,69630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552,71,553,71,551,70,553,71,NA,NA,3,NA,2,NA,2021-08-20T17:10:45Z
7,Xhaka,1,2,0,2,NA,NA,84450,0,0,0,0,0,3,1.4,2.4,Granit,2,7,FALSE,NA,NA,5,84450.jpg,2,Xhaka,1,FALSE,NA,a,1,3,7053,7053,12397,12397,0.4,0.4,90,0,0,0,2,0,0,0,0,0,0,0,13,15.2,24.7,5,4.5,123,49,41,28,123,70,88,51,NA,NA,4,NA,NA,NA,2021-08-20T17:10:45Z
8,Marí,1,1,0,1,NA,NA,92371,0,0,0,0,0,2,1.7,2.7,Pablo,1,8,FALSE,NA,NA,4.5,92371.jpg,1,Marí,0.2,FALSE,NA,a,1,3,756,756,1646,1646,0.2,0.2,90,0,0,0,2,0,0,0,0,0,0,0,14,16.6,1.3,7,2.5,111,41,182,51,106,21,157,48,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
9,Bellerín,1,0,0,0,NA,NA,98745,-0.1,1,-0.1,1,0,2,2.1,3.1,Héctor,0,9,FALSE,NA,NA,4.9,98745.jpg,0,Bellerín,0.9,FALSE,NA,a,1,3,1782,1782,17671,17671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,166,418,165,378,149,430,165,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
10,Chambers,1,1,0,1,NA,NA,101184,0,0,0,0,0,2,1.7,2.7,Calum,1,10,FALSE,NA,NA,4.5,101184.jpg,1,Chambers,0.4,FALSE,NA,a,1,3,1367,1367,3609,3609,0.2,0.2,80,0,0,0,2,0,0,0,0,0,0,0,14,13.2,16.8,12,4.2,136,56,68,16,86,17,99,27,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
